timestamp,cycle,phase,temp,bench_score,error_detected,corruption_detected,datetime
1747131260,1,start,0.0,3327.71,0,0,2025-05-13 10:14:20
1747131290,1,potentiation,2.0,3275.96,0,0,2025-05-13 10:14:50
1747131320,1,potentiation,4.0,3325.89,0,0,2025-05-13 10:15:20
1747131350,1,depression,1.0,3318.44,0,0,2025-05-13 10:15:50
1747131380,1,depression,3.0,3320.41,0,0,2025-05-13 10:16:20
1747131410,1,depression,5.0,3321.18,0,0,2025-05-13 10:16:50
1747131440,1,forget,15.0,3324.85,0,0,2025-05-13 10:17:20
1747131464,2,start,0.0,3255.84,0,0,2025-05-13 10:17:44
1747131495,2,potentiation,2.0,3322.6,0,0,2025-05-13 10:18:15
1747131525,2,potentiation,4.0,3320.68,0,0,2025-05-13 10:18:45
1747131555,2,depression,1.0,3321.9,0,0,2025-05-13 10:19:15
1747131585,2,depression,3.0,3320.34,0,0,2025-05-13 10:19:45
1747131615,2,depression,5.0,3324.99,0,0,2025-05-13 10:20:15
1747131645,2,forget,15.0,3320.78,0,0,2025-05-13 10:20:45
1747131669,3,start,0.0,3134.24,0,0,2025-05-13 10:21:09
1747131699,3,potentiation,2.0,3322.38,0,0,2025-05-13 10:21:39
1747131729,3,potentiation,4.0,2623.11,0,0,2025-05-13 10:22:09
1747131759,3,depression,1.0,3324.35,0,0,2025-05-13 10:22:39
1747131789,3,depression,3.0,3321.29,0,0,2025-05-13 10:23:09
1747131819,3,depression,5.0,3324.38,0,0,2025-05-13 10:23:39
1747131849,3,forget,15.0,3322.56,0,0,2025-05-13 10:24:09
