 time            v(c1_node)      v(c2_node)      v(c1_wl)        v(c1_bl)        v(c2_wl)        v(c2_bl)       
 1.00000000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.00000000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.00000000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.00000000e-10  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.60000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.20000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 6.40000000e-09  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.06400000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.19200000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.44800000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 2.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 3.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 4.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 5.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 6.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 7.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 8.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 9.96000000e-08  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00100000e-07  0.00000000e+00  0.00000000e+00  1.80000000e-01  1.00000000e-02  1.80000000e-01  1.00000000e-02 
 1.00300000e-07  1.42045454e-03  1.42045454e-03  5.40000000e-01  3.00000000e-02  5.40000000e-01  3.00000000e-02 
 1.00700000e-07  3.01089893e-02  3.01089893e-02  1.26000000e+00  7.00000000e-02  1.26000000e+00  7.00000000e-02 
 1.01000000e-07  7.17606434e-02  7.17606434e-02  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.01059152e-07  7.84455723e-02  7.84455723e-02  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.01177457e-07  8.86390979e-02  8.86390979e-02  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.01414066e-07  9.73117615e-02  9.73117615e-02  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.01887284e-07  1.00279208e-01  1.00279208e-01  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.02438695e-07  9.99502638e-02  9.99502638e-02  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
 1.03470395e-07  1.00022724e-01  1.00022724e-01  1.80000000e+00  1.00000000e-01  1.80000000e+00  1.00000000e-01 
