timestamp_utc,timestamp_epoch_s,phase,temp_c,freq_khz
2025-05-14T13:11:46Z,1747228306,recovery,40.0,3500000
2025-05-14T13:11:47Z,1747228307,recovery,40.0,3300000
2025-05-14T13:11:48Z,1747228308,recovery,40.0,3300000
2025-05-14T13:11:49Z,1747228309,recovery,40.0,3600000
2025-05-14T13:11:50Z,1747228310,recovery,40.0,3203000
2025-05-14T13:11:51Z,1747228311,recovery,39.0,3806000
2025-05-14T13:11:52Z,1747228312,recovery,39.0,3500000
2025-05-14T13:11:53Z,1747228313,recovery,39.0,3999000
2025-05-14T13:11:54Z,1747228314,recovery,39.0,1200000
2025-05-14T13:11:55Z,1747228315,recovery,39.0,1200000
2025-05-14T13:11:56Z,1747228316,recovery,39.0,3200000
2025-05-14T13:11:57Z,1747228317,recovery,38.0,1100000
2025-05-14T13:11:58Z,1747228318,recovery,38.0,3300000
2025-05-14T13:11:59Z,1747228319,recovery,38.0,3800000
2025-05-14T13:12:00Z,1747228320,recovery,38.0,3803000
2025-05-14T13:12:01Z,1747228321,recovery,38.0,3500000
2025-05-14T13:12:03Z,1747228323,recovery,38.0,3600000
2025-05-14T13:12:04Z,1747228324,recovery,37.0,3801000
2025-05-14T13:12:05Z,1747228325,recovery,38.0,3800000
2025-05-14T13:12:06Z,1747228326,recovery,37.0,1400000
2025-05-14T13:12:07Z,1747228327,recovery,37.0,3246000
2025-05-14T13:12:08Z,1747228328,recovery,37.0,3846000
2025-05-14T13:12:09Z,1747228329,recovery,37.0,3800000
2025-05-14T13:12:10Z,1747228330,recovery,37.0,1200000
2025-05-14T13:12:11Z,1747228331,recovery,37.0,3700000
2025-05-14T13:12:12Z,1747228332,recovery,37.0,3895000
2025-05-14T13:12:13Z,1747228333,recovery,36.0,3600000
2025-05-14T13:12:14Z,1747228334,recovery,37.0,3500000
2025-05-14T13:12:15Z,1747228335,recovery,36.0,3800000
2025-05-14T13:12:16Z,1747228336,recovery,36.0,4100000
2025-05-14T13:12:17Z,1747228337,recovery,36.0,3800000
2025-05-14T13:12:18Z,1747228338,recovery,82.0,4147000
2025-05-14T13:12:19Z,1747228339,recovery,37.0,3700000
2025-05-14T13:12:20Z,1747228340,recovery,37.0,3600000
2025-05-14T13:12:21Z,1747228341,recovery,37.0,3600000
2025-05-14T13:12:22Z,1747228342,recovery,37.0,3800000
2025-05-14T13:12:23Z,1747228343,recovery,72.0,4135000
2025-05-14T13:12:24Z,1747228344,recovery,38.0,1200000
2025-05-14T13:12:25Z,1747228345,recovery,38.0,3600000
2025-05-14T13:12:26Z,1747228346,recovery,37.0,3800000
2025-05-14T13:12:27Z,1747228347,recovery,37.0,3400000
2025-05-14T13:12:28Z,1747228348,recovery,82.0,4291000
2025-05-14T13:12:29Z,1747228349,recovery,38.0,1200000
2025-05-14T13:12:30Z,1747228350,recovery,38.0,3599000
2025-05-14T13:12:31Z,1747228351,recovery,38.0,3999000
2025-05-14T13:12:32Z,1747228352,recovery,38.0,4100000
2025-05-14T13:12:33Z,1747228353,recovery,45.0,2102000
2025-05-14T13:12:34Z,1747228354,recovery,41.0,2900000
2025-05-14T13:12:35Z,1747228355,recovery,38.0,1201000
2025-05-14T13:12:36Z,1747228356,recovery,39.0,3800000
2025-05-14T13:12:37Z,1747228357,recovery,38.0,3300000
2025-05-14T13:12:38Z,1747228358,recovery,43.0,1199000
2025-05-14T13:12:39Z,1747228359,recovery,39.0,1100000
2025-05-14T13:12:40Z,1747228360,recovery,38.0,3800000
2025-05-14T13:12:41Z,1747228361,recovery,39.0,3501000
2025-05-14T13:12:42Z,1747228362,recovery,38.0,3200000
2025-05-14T13:12:43Z,1747228363,recovery,46.0,2400000
2025-05-14T13:12:45Z,1747228365,recovery,40.0,1200000
2025-05-14T13:12:46Z,1747228366,recovery,39.0,3800000
2025-05-14T13:12:47Z,1747228367,recovery,39.0,1200000
2025-05-14T13:12:48Z,1747228368,recovery,38.0,3800000
2025-05-14T13:12:49Z,1747228369,recovery,45.0,2900000
2025-05-14T13:12:50Z,1747228370,recovery,42.0,3000000
2025-05-14T13:12:51Z,1747228371,recovery,39.0,1200000
2025-05-14T13:12:52Z,1747228372,recovery,39.0,3800000
2025-05-14T13:12:53Z,1747228373,recovery,39.0,3301000
2025-05-14T13:12:54Z,1747228374,recovery,39.0,3600000
2025-05-14T13:12:55Z,1747228375,recovery,81.0,4308000
2025-05-14T13:12:56Z,1747228376,recovery,39.0,3800000
2025-05-14T13:12:57Z,1747228377,recovery,38.0,3100000
